Zip_Code,Median
02840,171616.0
02842,64236.0
02852,77282.0
02857,94429.5
02860,39884.0
02861,171887.0
02863,24841.0
02864,33012.0
02865,90622.0
02871,73834.0
02876,300000.0
02879,68015.0
02885,70454.5
02886,66565.5
02888,186596.0
02889,42137.0
02891,80664.5
02893,50092.0
02895,29091.5
02903,24570.0
02904,71207.0
02905,42247.0
02906,92565.0
02907,23670.5
02908,31230.0
02909,48543.0
02910,179487.0
02911,47341.0
02914,48687.0
02915,57739.0
02917,33297.0
02919,57006.0
02920,61988.0
03031,104111.0
03037,77621.0
03038,178407.5
03043,67349.0
03044,90088.0
03045,187227.5
03049,300000.0
03051,300000.0
03053,300000.0
03054,117177.0
03060,82928.0
03062,65818.0
03063,72306.0
03064,31648.0
03076,300000.0
03079,84158.0
03086,184182.5
03087,111646.0
03101,157878.5
03102,54474.5
03103,44186.0
03104,67066.0
03106,300000.0
03109,300000.0
03110,104997.0
03222,31227.0
03225,300000.0
03229,103126.0
03235,30399.0
03242,65708.0
03246,47512.0
03251,35143.0
03253,66820.0
03257,107181.0
03264,30731.0
03275,40224.0
03278,69979.0
03301,56305.0
03303,72747.0
03307,60482.0
03431,65350.5
03440,65483.0
03446,86837.0
03447,56067.0
03457,70063.0
03458,37413.0
03470,42101.0
03561,21085.0
03570,31006.0
03574,46258.0
03581,300000.0
03582,35928.0
03583,55299.0
03603,44485.5
03609,32399.0
03741,75710.0
03743,50668.0
03755,300000.0
03766,54753.0
03770,80499.0
03773,61615.0
03774,300000.0
03779,58219.0
03801,73710.5
03809,64461.0
03814,44873.0
03816,66794.0
03820,41942.0
03824,57940.0
03825,52174.0
03833,97125.0
03835,168030.5
03842,150000.0
03848,88243.0
03851,51834.0
03857,77219.0
03858,89390.0
03860,45910.0
03861,83414.0
03862,88684.0
03867,64560.0
03869,62678.0
03872,26635.5
03873,78345.0
03874,300000.0
03878,80878.0
03884,93036.0
03885,300000.0
03886,47711.0
03903,191179.5
03906,55047.0
03909,42430.0
04005,68224.0
04009,49522.0
04011,24839.0
04030,300000.0
04032,71131.0
04038,300000.0
04039,300000.0
04041,43995.0
04042,61903.0
04043,86807.0
04050,86902.0
04062,66630.0
04064,48692.0
04071,300000.0
04072,69840.0
04073,42485.0
04074,81468.0
04079,67564.0
04085,39599.0
04090,60396.0
04092,59899.0
04096,300000.0
04097,90177.0
04101,45847.0
04102,37817.5
04103,64084.5
04106,173102.0
04107,107529.0
04210,36713.0
04217,54101.0
04236,64401.0
04240,51834.0
04250,58419.0
04252,53619.0
04254,31926.0
04256,34100.0
04259,59256.0
04260,66179.0
04268,32683.0
04276,50203.0
04281,23526.0
04282,61415.0
04292,40089.0
04294,37471.0
